from,to,dist_d,n_call,n_floor,car_position_call,car_direction_call,car_queue_buttons,car_queue_floor,dist_d_deny1,n_call_deny1,n_floor_deny1,car_position_deny1,car_direction_deny1,car_queue_buttons_deny1,car_queue_floor_deny1,dist_d_deny2,n_call_deny2,n_floor_deny2,car_position_deny2,car_direction_deny2,car_queue_buttons_deny2,car_queue_floor_deny2,dist_d_deny3,n_call_deny3,n_floor_deny3,car_position_deny3,car_direction_deny3,car_queue_buttons_deny3,car_queue_floor_deny3,waiting_time,journey_time,total_time
7,0,30,6,6,15,5,1,3,27,4,4,4,4,1,3,8,3,1,11,5,1,2,30,6,6,7,4,1,5,74,58,132
9,0,6,4,1,4,2,0,3,2,7,1,11,4,1,6,17,2,2,4,5,0,2,6,4,1,15,1,1,3,30,112,142
7,0,25,2,2,10,4,1,4,7,3,0,0,2,1,2,6,7,2,13,4,1,6,25,2,2,2,4,1,1,15,58,73
13,0,30,4,4,6,5,1,3,26,7,7,9,4,1,6,10,2,1,7,5,0,2,30,4,4,13,4,1,3,37,97,134
6,0,30,5,5,13,5,1,3,27,3,3,3,4,1,2,9,4,2,15,4,1,3,30,5,5,6,4,1,4,124,52,176
13,0,28,5,5,7,5,1,3,25,6,6,8,4,1,5,8,2,1,9,5,0,2,28,5,5,11,4,1,4,30,97,127
6,0,30,5,5,13,5,1,3,27,3,3,3,4,1,2,9,4,2,15,4,1,3,30,5,5,6,4,1,4,124,52,176
13,0,28,5,5,7,2,1,3,25,6,6,8,4,1,5,7,2,1,10,5,0,2,28,5,5,11,4,1,4,30,97,127
6,0,18,2,1,7,4,1,4,17,4,1,1,2,0,4,4,6,2,10,4,1,5,18,2,1,0,2,1,1,12,52,64
14,0,21,5,5,13,2,1,4,18,2,2,2,1,1,1,29,5,5,13,4,1,4,21,5,5,5,1,1,4,7,91,98
5,0,30,4,4,13,4,1,4,27,2,2,2,4,1,1,10,6,1,13,5,1,5,30,4,4,5,4,1,3,139,46,185
14,0,21,4,4,13,2,1,5,18,2,2,2,4,1,1,29,5,5,13,4,1,4,21,4,4,5,1,1,3,7,91,98
5,0,30,4,4,13,4,1,4,27,2,2,2,4,1,1,10,6,1,13,5,1,5,30,4,4,5,4,1,3,72,46,118
